text,true,pred,word_count,very_short_text,failure_mode,notes
"Demer Daves,is a wonderful director when it comes to westerns and ""broken arrow"" remains in everybody's mind.As far as melodrama is concerned,he should leave that to knowing people like Vincente Minelli,George Cukor or the fabulous Douglas Sirk. The screenplay is so predictable that you will not be surprised once while you are watching such a tepid weepie.Natalie Wood 's character was inspired by Fannie Hurst's ""imitation of life"" (see Stahl and Sirk),but who could believe she's a black man's daughter anyway?Susan Kohner was more credible in ""imitation of life"")and Sinatra and Curtis are given so stereotyped parts that they cannot do anything with them:the poor officer,and the wealthy good-looking -and mean- sergeant.Guess whom will Natalie fall in love with?France is shown as a land of tolerance ,where interracial",0,1,128,False,,
"This movie has to be my favorite of all time. Its not supposed to have a plot, because its makers wanted people (Charlie Sheen, I think)to believe it was a real snuff film. This was an exercise in visual effects, and doesn't cut away when the action happens like every other film does. Movies these days are now all about sound effects, leaving the visuals to be made by computers cause its easier to deal with CGI blood. There still are movie makers who still can't get fake blood to look like the real thing. There is no rape scene because that wasn't the point of making the film. Have you seen the hills have eyes 2? The rape scene was funny instead of shocking. Although i'm sure",1,0,128,False,,
"If you are under 13 or above 13 and pretty intoxicated, you'll enjoy D-war. If you are a seriously dedicated fan of all kinds of brainless action films, you'll enjoy D-war. Otherwise, don't bother! I saw the movie today with my nephews and 3 of their friends. They really loved it and that made me feel good. After the movie was over, all the kids(my nephews and their friends)could not stop thanking me for taking them to the theater. The CG is good. Acting and directing are horrible. Storyline is extremely simple. But, since the half of the audience was kids, they were screaming, shouting and cheering every time the dragons appeared on the screen. This made the viewing experience far more exciting than it should have been.",1,0,128,False,,
"The Cell is weak on plot, filled with holes and has pretty lousy acting as well. but none of this matters, for, director tarsem singh has given us one of the most visually stunning movies ever. the whole plot is just an excuse to let tarsem fool around and take you into the minds of a serial killer, bringing the audience some shocking, pleasing, breath-taking and mind blowing images. the images from this beautiful movie will stick with you for a long time to come. this movie is a perfect case for the ""suspension of disbelief"" theory. forget the silly plot, just let your senses be overwhelmed with the images. and J.Lo looks stunning enough to add to the rest of tarsem's work. the cinematography is harrowing, the",1,0,128,False,,
"I have to hold Barney drilling my head every day; well.. I guess there must be reasons. First, I'm convinced that our kids are not stupids, they are just kids, but they know (my 1 and a half years old son ""selects"" what to see) what's nice or disgusting. Did you see the news? Do you think your kids HAVE TO KNOW the reality as it is? Maybe..or maybe not; we (the adults) have the responsibility about what we want for our kids, and what to teach them. A film of drug dealers? news about massacres in Middle East? Of course, the kids must know there is a Real Life, but... they are kids; let's give them some mercy. What do you want for them? If you wanna",1,0,128,False,,
"I've heard a lot about Porno Holocaust and its twin film Erotic Nights Of The Living Dead. Both films are interchangeable and were filmed at the same time on the same location with the same actors changing clothes for each film (and taking them off). If you are expecting the D'Amato genius displayed in films like Buio Omega or Death Smiles on Murder, you won't find it here. Nonetheless this film has a charm that exploitation fans will not be able to resist. Where else will you see hardcore sex mixed with a zombie/monster and his enormous penis that strangles and chokes women to death? Only from D'Amato. There is some amount of gore in which many of the men are bludgeoned to death. The film is set",1,0,128,False,,
"Really, I liked it. The premise was good, the story fit where both respective series left off, and here's my favorite part. Mary and Valerie aren't bitter! They aren't like others who become synonymous with a certain series and then refuse to talk about it, or do possible reunions (A prime example is Susan Dey, ""The Partridge Family""). In fact, Valerie was saying that she'd be thrilled to do another movie, and then Mary said the same thing later, so I would be on the look for another...but if that doesn't quite work out, then they can re-run this one.",1,0,100,False,,
"Um .... a serious film about troubled teens in Singapore, a country I have not much knowledge on but have the previous wrong impression that all the kids there are highly disciplined and controlled by their family and government. Well, I guess I am wrong, just like other cities/ countries, they also have their troubled teens who also lead the not so surprising rebellious way of life of drugs, fights, bad language, and .... many other obvious signs of being a bad boy. The surprising part of this film isn't really about how these kids running around causing themselves and others trouble, but rather the subtle gayness hidden behind their so call loyalty between them. The bond between these ""brothers"" may very well originated from an unconscious gay",1,0,128,False,,
"This sickly sweet and laboriously paced 5-reeler is definitely not among Harold Lloyd's better films. Gags are sparse and mostly uninspired. Saccharine melodrama is abundant. The setup takes forever, as Lloyd, the unconventional, but impossibly kindly, country doctor makes his rounds, bringing a little sunshine into the lives of children, the elderly, and puppies. It's like a 1922 version of Patch Adams. Ugh. 4/10.",0,1,64,False,,
"I usually check out the MTV movie awards to watch a witty, entertaining show that delivers a unique award show (Chewbacca winning a life-time achievement award as example). So this year was no different. While I'm not a fan of Justin Timberlake, Seann William Scott has always been funny-albiet stupid-to me. I've laughed at Stiffler in both American Pie movies, and even enjoyed him in Dude Where's My Car?. But the MTV movie awards were simply horrible. Nothing was coherrent, humorous, or entertaining. Justin Timberlake should stick to singing and dancing; he sure as hell can't act. I'm curious as to who the writers were for this show. Last year's performance by Jack Black and Sarah Michelle Gellar was extremly funny (The Lord of the Rings parody alone",0,1,128,False,,
"So after years and years I finally track this film down! I was dying to see how it lived up to my memories. I distinctly remembered the shots of the ghost boy running down the mine, then waiting behind two planks of wood crossed in the mineshaft, just staring out with a pale white face. This single shot was probably the most chilling shot of my childhood, I remember chills running down my spine. Watching it now, its obviously nowhere near as scary, but quite subconsciously strange to see the same images again. If anyone wants a copy, private message me. The story itself is fairly standard BCFF stuff. Its strange though that the message is pretty unclear this time around - there is no real moral as",1,0,128,False,,
"18 directors had the same task: tell stories of love set in Paris. Naturally, some of them turned out better than others, but the whole mosaic is pretty charming - besides, wouldn't it be boring if all of them had the same vision of love? Here's how I rank the segments (that might change on a second viewing): 1. ""Quartier Latin"", by Gérard Depardieu One of the greatest French actors ever directed my favourite segment, featuring the always stunning Gena Rowlands and Ben Gazzara. Witty and delightful. 2. ""Tour Eiffel"", by Sylvain Chomet Cute, visually stunning (thanks to the director of ""The Triplets of Belleville"") story of a little boy whose parents are mimes; 3. ""Tuileries"", by Ethan and Joel Coen The Coen Brothers + Steve Buscemi =",1,0,128,False,,
"When I first saw this show, I thought it looked interesting. I watched it, saw how it revolved around Sarah, like the character sees the world...revolving around her. I got it, but wasn't laughing very much. Onstage and in her show, she's racist, crude, insensitive and hugely self-centered. I didn't get her at first, and took it all at face value. Then I got to see her movie, Jesus is Magic. I think that served as a Sarah Silverman primer for me, explaining to me just what 'language' she's speaking. She's like Marilyn Manson, working so hard to give us a faceful of horrible ideas and images, but you eventually realise it isn't an assault, it's a statement. And once you understand that, you find you're glad someone's",1,0,128,False,,
"Excuse me if I'm wrong, but ""Cronica para un desayuno"" could be one of the most gretatest films in tne mexican movie history for a lot of reasons. We can get a lot of ingredients for a perfect mexican middle-class family breakfast: a cup of Buñuel's surrealistic motifs with a little drop of Ripstenian desolated scenarios; a pound of phallus symbols around the film and a difficult psychological complexity, more than Todd Solondz's Happiness and the Dogma movement films. There`s a lot of sordidness, black humor, repressed dreams (Teodoro's dream of fly), incestual lack of control (the relation between Marcos and Luzma), no-sense parallel stories, a discrete violence, anachronisms and a little sign of hope (spotlighted in Luzma, the husband's home return and ""Un poco Mas"" used for",1,0,128,False,,
"WONDERBIRD, certainly an unbelievably refined cartoon, drawn in a deliciously oldfashioned way, and sensationally oldfashioned in almost any respect, takes place in a kingdom ruled by a mean and heinous monarch; accordingly, the kingdom, or at least what we seethe surroundings of the king's palace, seems devoid, uninhabited. A few inhabitants there areaway from the Sunin the withered underground city. An advicecall it an allegory, call it a parable, only do not call it a fable. Because IMDb encourages prolixity, and maybe for other reasons as well, I will add that this cartoon is the work of the great Paul Grimault.",1,0,101,False,,
"I was expecting a documentary covering the 1950 to 1965 era of Sci-Fi and received a big ol' commercial laced with leftist political innuendo by James Cameron and movie mogul baby boomer's pushing the own works. 'Watch the Skies' has in the past referred to the 'Giant Bug' and 'Space Exploration' movies from the 1950's including such favorites as ""Earth vs. the Flying Saucers, ""Thing from Another World"" and ""Forbidden Planet"" as well as ""Them"", ""Deadly Mantis"" and ""Tarantula"". There are lower budget examples that rarely get mentioned like ""Space Monster"", ""12 to the Moon"" and ""Cosmic Man"". This would have been a much better documentary had the few remaining actors, directors, stunt men and collectors plus the non-Hollywood 'boomer's from the era been interviewed. I only wish",0,1,128,False,,
"Gung Ho tries to express many ideas and entertain us with a wiseguy comedy at the same time. The result is uneven, but generally entertaining. Keaton balances all three aspects of his lead character quite well. Wantabedde is even better. One warning: George Wendt is very poor in his supporting role. Otherwise, this is quite enjoyable time capsule.",1,0,58,False,,
"Once again a film classic has been pointlessly remade with predictably disastrous results. The title is false as is everything about this film. The period is not persuasively rendered, and the leads seem way too young and too vapid to even be criminals. Arthur Penn's film had style, humor, a point of view, and was made by talented people. Even if the 1967 version didn't exist this would still be an unnecessary film. The 1967 version strayed from the facts, presented a glamorized version of Bonnie and Clyde, but it was exciting, and innovative for 1967, and it had some outstanding performances that allowed you to care. This 1992 remake seems culled from the original film rather than the truth as known and the actors in this version",0,1,128,False,,
"I figured that it's about time I let this one out. Pokémon fans are suffering in America these days. Why? Because we rely on Kids WB and 4Kids Entertainment to provide us with our beloved series and movies. As far as the series goes, they do a pretty good job in bringing the fun and magic of the Japanese versions to television. So what is their problem when it comes to the movies? Honestly now, I have seen all three Pokémon movies in Japanese and I will definitely be seeing the fourth one. They are excellent movies. They are all enjoyable and fun to watch. And, after seeing Pokémon 2000 in theaters, I can't help but wonder how these American producers read the Japanese scripts. The way it",0,1,128,False,,
"I'm Mike Sedlak. I co-wrote the score for this movie. And proud of it. And I love all of the comments. Some have not gone far enough. The movie premiered in San Francisco in the summer of 1973. The theater was packed with friends and family. We all clapped. Five days latter, it was pulled from all of the screens in the Bay Area. If anyone is interested hearing some of scene by scene details, which might make the movie even more enjoyable, please let me know. We could start with the shot where Gideon Blake throws the toilet plunger to distract one of the evil henchmen guarding the radio transmitter on the deck of Bud's house. Or how Gideon diffused the bomb in the original version. Didn't",0,1,128,False,,
"When I saw this movie in the theater when it came out in 1995 via a free advanced screening, I was totally enchanted and would have gladly paid to see it. I was sorry when I talked to many people afterwards who had also seen it and who were totally disappointed with it and how it ended. I, on the other hand, felt completely the opposite. I was totally satisfied with the outcome and everything else. People I talked to said there was too much talking! Plus they were unhappy because they felt that the ending left you wondering about the fate of the two characters. I found these observations to be absurd and to also be painful evidence of how the majority of the American movie-going public",1,0,128,False,,
"After reading the other reviews for this film I am of the opinion that the high markers are probably paid studio lackeys as the film I saw was absolutely dire, with wooden acting, lacklustre scripting and plodding predictable directing, one of the few plus points has to be the stunning scenery as this film features some stunning backdrops with great sweeping vistas and dramatic skies and wide open prairies, sadly when the most memorable thing in a film is the part featured behind the actors this has to be a warning sign as to the quality of the movie, all in all a thoroughly uninspiring addition to the western genre which even at the very reasonable price it can be obtained on DVD is best to avoid.",0,1,127,False,,
"This complicated story begins fairly simply, with an English journalist accepting a wager from Edgar Allen Poe and his friend Lord Blackwood that he cannot spend a night in the haunted Blackwood castle. Once there, the writer wanders around the dusty rooms and corridors, until music and a glimpse of a waltzing couple lead him into an empty room. He sits at the harpsichord and starts to play the tune he has heard, and is surprised to be tapped on the shoulder by the stunningly beautiful Elizabeth Blackwood. She informs him with an ambiguous charming/eerie manner that she has prepared his room upstairs and that someone is always expected on this night...the Night of the Dead. Thus begins a startling series of supernatural events that bewilder the journalist",1,0,128,False,,
"The figure of empress Elizabeth of Austria (1837-1898) is, indeed, mostly associated with Romy Schneider and the Sissi trilogy by Ernst Marischka (1950s) where beauty, gentleness, sweetness but also history are ever present. This was the Sissi, perhaps myth for some; however, a powerful portrayal. The spirit of the Habsburgs' grandeur as well as the spirit of the Bavarian simplicity and straightforwardness influenced much those films. Simply, they did have a soul. However, Jean Daniel Verhaeghe's film, though made 50 years later, appears to be a wrong depiction of the empress and her life. It seems to be an attempt to show something different, to reveal some realism as a cure to sweetness; yet, it does not occur to add a lot but rather deprives the whole story",0,1,128,False,,
"Pot-seeking pre-teen Joshua Miller (as Tim) throws his sister's doll into the river while Daniel Roebuck (as Samson) howls and smokes a cigarette, after killing Danyi Deats (as Jamie). The doll washes away, but the naked young woman stays by the ""River's Edge"", for any passerby to see. Viewing the dead body are a group of twenty-something teenagers, mostly classmates of the naked corpse. Stoners Keanu Reeves (as Matt) and Crispin Glover (as Layne) are found most camera-worthy. The friends wonder what to do about their guilty, beer-guzzling killer friend. Veteran-in-the-cast Dennis Hopper (as Feck) keeps the youngsters' heads fed. Mr. Hopper once killed a woman. He lives with one of those life-sized sex dolls, with a mouth apparently ready for action. Ione Skye Leitch (as Clarissa) is",1,0,128,False,,
